Type,Entry Time,Exit Time,Profit/Loss,Entry,Exit,Result,Equity
Sell,2024-12-04 14:00:00,2024-12-04 15:00:00,199.96999999998863,191.458,191.258,Win,15899.999999999678
Sell,2024-12-04 15:00:00,2024-12-04 16:00:00,199.96999999998863,191.414,191.214,Win,16099.969999999666
Sell,2024-12-04 16:00:00,2024-12-04 17:00:00,199.96999999998863,191.122,190.92200000000003,Win,16299.939999999655
Sell,2024-12-09 16:00:00,2024-12-09 17:00:00,-99.96999999999431,192.851,192.951,Loss,16199.969999999661
Sell,2024-12-09 17:00:00,2024-12-09 19:00:00,-99.96999999999431,193.233,193.333,Loss,16099.999999999667
Sell,2024-12-09 19:00:00,2024-12-09 21:00:00,199.96999999998863,193.245,193.04500000000002,Win,16299.969999999656
Sell,2024-12-09 21:00:00,2024-12-09 22:00:00,199.96999999998863,192.875,192.675,Win,16499.939999999646
Sell,2024-12-10 14:00:00,2024-12-10 15:00:00,199.96999999998863,193.601,193.401,Win,16699.909999999636
Sell,2024-12-10 15:00:00,2024-12-10 16:00:00,-99.96999999999431,193.4,193.5,Loss,16599.939999999642
Sell,2024-12-10 18:00:00,2024-12-10 21:00:00,-99.96999999999431,193.945,194.045,Loss,16499.96999999965
Sell,2024-12-10 21:00:00,2024-12-11 02:00:00,199.96999999998863,194.061,193.86100000000002,Win,16699.93999999964
Sell,2024-12-11 02:00:00,2024-12-11 03:00:00,-99.96999999999431,193.837,193.93699999999998,Loss,16599.969999999645
